,area,build_year,price,number_of_rooms,level,price_average
271,100.0,2000.0,160000.0,1.0,0,193431.84020618556
272,90.0,1996.2546383436409,220000.0,3.0,0,193431.84020618556
273,54.0,2009.0,125000.0,1.0,0,193431.84020618556
274,81.0,1970.0,156000.0,3.0,2,193431.84020618556
275,91.0,1990.0,155000.0,3.0,1,193431.84020618556
276,52.0,1996.2546383436409,130000.0,2.0,4,193431.84020618556
277,44.0,2010.0,140000.0,2.0,0,193431.84020618556
278,63.0,1939.0,140000.0,3.0,1,193431.84020618556
279,96.0,1928.0,250000.0,4.0,2,193431.84020618556
280,119.0,1996.2546383436409,420000.0,4.0,3,193431.84020618556
281,64.0,1969.0,188000.0,2.0,1,193431.84020618556
282,66.0,1939.0,214000.0,2.0,2,193431.84020618556
283,56.0,1996.2546383436409,119000.0,2.0,0,193431.84020618556
284,170.0,2006.0,430000.0,5.0,1,193431.84020618556
285,173.0,1974.0,320000.0,6.0,5,193431.84020618556
286,58.0,1996.2546383436409,165900.0,2.0,0,193431.84020618556
287,51.0,1996.2546383436409,145600.0,2.0,0,193431.84020618556
288,53.0,1996.2546383436409,129900.0,2.0,8,193431.84020618556
289,111.0,1996.2546383436409,298500.0,4.0,1,193431.84020618556
290,114.0,1939.0,298500.0,4.0,1,193431.84020618556
291,91.0,1996.2546383436409,170000.0,3.0,0,193431.84020618556
292,38.0,1996.2546383436409,95000.0,2.0,3,193431.84020618556
293,38.0,2009.0,85000.0,2.0,2,193431.84020618556
294,42.0,2010.0,64900.0,2.0,0,193431.84020618556
295,50.0,1996.2546383436409,84000.0,2.0,0,193431.84020618556
296,46.0,2019.0,99000.0,2.0,4,193431.84020618556
297,30.0,1996.2546383436409,77000.0,1.0,0,193431.84020618556
298,38.0,1996.2546383436409,92000.0,3.0,0,193431.84020618556
299,30.0,1985.0,60000.0,1.0,1,193431.84020618556
300,24.0,1960.0,57000.0,1.0,0,193431.84020618556
301,42.0,1996.2546383436409,55000.0,2.0,0,193431.84020618556
302,30.0,1996.2546383436409,59900.0,1.0,0,193431.84020618556
303,35.0,1996.2546383436409,65000.0,1.0,0,193431.84020618556
304,50.0,2008.0,94000.0,1.0,1,193431.84020618556
305,46.0,1996.2546383436409,89900.0,2.0,0,193431.84020618556
306,38.0,1996.2546383436409,72000.0,2.0,3,193431.84020618556
307,38.0,1996.2546383436409,85000.0,2.0,0,193431.84020618556
308,30.0,1996.2546383436409,69000.0,2.0,5,193431.84020618556
309,42.0,2021.0,83580.0,1.0,7,193431.84020618556
310,46.0,1996.2546383436409,91900.0,2.0,0,193431.84020618556
311,49.0,1935.0,71000.0,2.0,0,193431.84020618556
312,33.0,1938.0,96000.0,1.0,2,193431.84020618556
313,49.0,1996.2546383436409,90000.0,3.0,0,193431.84020618556
314,43.0,1996.2546383436409,70000.0,2.0,6,193431.84020618556
315,24.0,1996.2546383436409,67000.0,1.0,2,193431.84020618556
316,69.0,1996.2546383436409,91000.0,2.0,5,193431.84020618556
317,30.0,1968.0,89900.0,1.0,1,193431.84020618556
318,38.0,1996.2546383436409,98000.0,1.0,1,193431.84020618556
319,51.0,1996.2546383436409,55000.0,2.0,0,193431.84020618556
320,33.0,1996.2546383436409,95000.0,1.0,2,193431.84020618556
321,46.0,1996.2546383436409,91900.0,2.0,0,193431.84020618556
322,35.0,2021.0,88500.0,2.0,1,193431.84020618556
323,58.0,2020.0,92800.0,2.0,4,193431.84020618556
324,32.0,1996.2546383436409,55000.0,1.0,0,193431.84020618556
325,38.0,2009.0,85000.0,2.0,2,193431.84020618556
326,29.0,1996.2546383436409,90000.0,2.0,0,193431.84020618556
327,60.0,1996.2546383436409,99500.0,2.0,5,193431.84020618556
328,20.0,1996.2546383436409,64000.0,1.0,2,193431.84020618556
329,26.0,1996.2546383436409,73000.0,1.0,1,193431.84020618556
330,44.0,1996.2546383436409,94000.0,2.0,4,193431.84020618556
331,47.0,1999.0,98700.0,3.0,2,193431.84020618556
332,65.0,1930.0,91900.0,3.0,1,193431.84020618556
333,27.0,1996.2546383436409,67500.0,2.0,0,193431.84020618556
334,48.0,1908.0,89500.0,2.0,0,193431.84020618556
335,66.0,1936.0,85800.0,1.0,0,193431.84020618556
336,25.0,1996.2546383436409,68000.0,1.0,5,193431.84020618556
337,26.0,1996.2546383436409,65000.0,1.0,0,193431.84020618556
338,115.0,1996.2546383436409,320000.0,4.0,1,193431.84020618556
339,50.0,1996.2546383436409,105000.0,2.0,0,193431.84020618556
340,200.0,1996.2546383436409,319000.0,2.8452239216045427,4,126575.0
341,51.0,1970.0,41000.0,2.0,3,126575.0
342,34.0,1971.0,48500.0,2.0,1,126575.0
343,102.0,2020.0,235000.0,4.0,2,126575.0
344,95.0,1996.2546383436409,180000.0,4.0,1,126575.0
345,111.0,1996.2546383436409,145000.0,4.0,7,126575.0
